hour,veer_pct,back_pct,rapid_pct,sea_onset,land_onset,mean_vr_abs
0,10.117096018735364,7.213114754098362,7.236533957845433,1.2412177985948478,1.1943793911007026,27.580213028495322
1,9.90632318501171,8.992974238875878,7.985948477751756,1.5456674473067917,0.9836065573770493,28.619256337562117
2,9.765807962529275,8.126463700234192,7.564402810304449,1.288056206088993,1.2412177985948478,27.466328712424342
3,9.531615925058547,9.063231850117095,8.384074941451992,1.873536299765808,0.9601873536299765,28.188494501343698
4,10.843091334894615,10.936768149882905,9.742388758782202,2.0843091334894615,1.0304449648711944,30.766796908858456
5,12.271662763466042,11.756440281030445,10.843091334894615,2.271662763466042,1.2412177985948478,33.18886660816125
6,12.388758782201405,12.224824355971897,11.7096018735363,3.0679156908665104,1.358313817330211,34.80414793802747
7,20.46838407494145,25.08196721311475,22.78688524590164,9.46135831381733,0.5620608899297423,54.53823617325721
8,13.723653395784543,23.021077283372364,14.168618266978921,5.948477751756441,0.2810304449648712,44.82370941962034
9,14.613583138173302,9.227166276346605,6.416861826697892,2.9976580796252925,0.117096018735363,31.855111429640587
10,7.681498829039812,5.948477751756441,3.0679156908665104,0.6557377049180327,0.5152224824355972,22.661122714641778
11,4.426229508196721,5.878220140515222,3.161592505854801,0.2810304449648712,1.1007025761124123,19.27234701583343
12,7.423887587822015,6.814988290398126,5.409836065573771,1.0070257611241218,2.0140515222482436,22.31286756264202
13,10.44496487119438,8.290398126463701,8.641686182669789,1.7798594847775178,2.5995316159250588,26.941860611176384
14,11.920374707259954,11.311475409836065,11.686182669789227,1.8266978922716628,4.004683840749414,32.00460241016368
15,10.796252927400468,12.763466042154567,12.646370023419204,2.037470725995316,3.700234192037471,33.36095176526893
16,11.943793911007026,13.021077283372366,11.943793911007026,2.5526932084309135,1.9906323185011712,33.0229051903436
17,11.943793911007026,13.325526932084308,11.943793911007026,2.669789227166276,2.037470725995316,33.96504271618899
18,13.817330210772832,13.489461358313818,12.927400468384075,1.288056206088993,3.6768149882903978,37.43721168596161
19,13.442622950819672,15.690866510538642,13.091334894613581,1.0772833723653397,2.9039812646370025,38.878597448896876
20,12.131147540983607,11.826697892271664,10.585480093676814,1.4988290398126463,1.6159250585480094,33.69386194247444
21,13.442622950819672,9.227166276346605,9.039812646370024,1.405152224824356,1.4754098360655739,32.43746988407897
22,13.091334894613581,8.430913348946136,8.571428571428571,1.405152224824356,1.5222482435597189,31.60155628959985
23,11.217798594847775,7.775175644028103,7.213114754098362,1.358313817330211,1.358313817330211,29.00093511493752
