hour,mean_speed,p25_speed,p75_speed,mean_dir,dir_std,vec_dir,vec_speed,constancy,sector,mean_shear,mean_gust,mean_gust_factor,mean_temp,mean_vpd,n
0,4.030937012437533,2.42026414944839,4.979678548731416,212.91255642159726,57.099967544369264,221.0968956451853,2.5813660287693243,0.640388579827586,SW,3.8264898721539615,9.285063166276345,2.61730741192023,24.938299030444966,0.4790006918032787,4270
1,3.875423637469281,2.3365719855499627,4.7,219.0262621217479,56.94631287149823,226.4354585249722,2.580977476886897,0.6659858942730504,SW,3.775769473470058,9.05695682903981,2.6425987059427993,24.68769458548009,0.45537677751756445,4270
2,3.8413855869877387,2.2973979298370883,4.6,221.5406189454357,54.66493095942963,229.0450086046461,2.667545008617508,0.6944226108551863,SW,3.7295617752457573,8.997211297423886,2.666315711817834,24.506615920374706,0.4434494932084309,4270
3,3.681476508413195,2.130678679782632,4.3649541205484885,220.70409680289154,57.396272205303845,227.71955719393512,2.4679046592840796,0.6703573019260703,SW,3.6350517883227944,8.676333227166277,2.6823916347917787,24.311266346604217,0.43178200515222487,4270
4,3.5417141124167344,1.948975191705157,4.224858034626207,215.97381347863916,64.44972319876464,223.46304198713025,2.1479944177512236,0.6064844167463059,SW,3.40541525945099,8.410032393442622,2.741096941214666,24.140685484777517,0.42051433911007025,4270
5,3.401013638759666,1.8310764115072873,4.1,208.1057593104929,70.18945834607726,217.56675843259225,1.8610925314674807,0.5472170150267943,SW,3.15280001349926,8.242207461358316,2.8494997629796615,23.975245405152226,0.40710747587822016,4270
6,3.3180512428528193,1.639950352460034,4.1577898272721185,197.55557681413316,78.89479574630609,211.66401641403522,1.6112260379962566,0.48559407919539677,SW,2.886685662017152,8.562187170960186,3.1948573071829096,24.287142594847776,0.42444524121779864,4270
7,3.2938941922816087,1.6176990634071604,3.93704991006465,303.75498643865876,136.00771443397673,260.8089747625316,0.6516792956398387,0.19784463543694908,W,2.179795134843085,12.124964552693207,5.123381486578189,26.02921079625293,0.6436116660421546,4270
8,4.0534262837571635,2.1471111099915063,4.743825384560653,352.50475936527135,78.36735374019179,336.7617279325795,1.38492048899947,0.34166662769941203,NW,1.4661585573551545,15.832975578454333,5.209380268731295,27.890822964871195,1.0079967779859484,4270
9,5.178088303209369,2.744499776933785,6.406420085161554,11.077723624503196,63.326782559774216,6.582592422354564,2.127257153529795,0.4108190183259959,N,1.6437874252208222,19.632092604215458,5.054613259161901,29.429974426229506,1.4112732201405154,4270
10,6.439155910410071,3.4356005289114706,8.49613339518628,17.464887486477853,63.118845016840915,20.95426572486611,2.758383262254603,0.42837652956891026,N,2.048198132158011,23.07945317564403,4.741411820294678,30.67700517096019,1.7744307110070259,4270
11,7.555257451643368,4.011381906715497,10.306612082858809,19.79058269748809,69.18730782767757,28.66981332062205,3.1849563524530584,0.4215549731876163,NE,2.4500410379267854,25.481829573770494,4.521424226642099,31.484278023419208,2.021574788290398,4270
12,8.439618334352103,4.657743062797678,11.598066211335022,27.707253349365537,75.37952954158207,39.3143748176745,3.5636233450431054,0.4222493487102316,NE,2.82087238322557,27.05068311943794,4.28423541136517,31.72865035597189,2.1097259939110073,4270
13,9.032163987546667,5.1,12.459811594126142,41.23971914486953,77.4776739819808,50.91463733313508,4.005255170844356,0.44344358410306833,NE,3.153462751266238,28.01019038875878,4.058888224828531,31.415524721311474,2.041186386885246,4270
14,9.084910783342565,4.844040006792329,12.837358105724332,56.32257873336862,82.29227673669169,63.987347602350816,3.990837578683025,0.43928197798049223,NE,3.3793579090627435,27.699151672131144,4.00908648787161,30.75632018266979,1.8623422622950818,4270
15,8.992620480793992,4.7,12.95810553234499,65.7420060607401,88.88176490235413,74.23890315733453,3.8592972263516105,0.4291626934100147,E,3.6216438321197644,26.6832283559719,3.9192349641450512,29.952646969555033,1.6336080730679157,4270
16,8.55750245444458,4.201656279109298,12.564053233692558,66.3777534108323,93.54711762446902,79.37417235262598,3.643801365167199,0.42580196553431177,E,3.985566076835817,24.783458398126463,3.8942333314660704,29.06638786885246,1.3620761831381734,4270
17,7.359487500473986,3.6000000000000005,10.66021639295569,67.91549371745728,97.77761059824512,84.42364745522538,2.80409368415636,0.38101752112164916,E,4.9352014334204855,21.81261620140515,3.84356263214009,27.948310135831385,1.0156128721311475,4270
18,6.149666334864072,3.1,8.62038070451177,126.90988922425954,97.73610386493722,117.57294260669207,2.179800175525776,0.3544582838857316,SE,5.417492363482289,16.937987091334897,3.4538900528810377,26.8570790117096,0.7369822632318501,4270
19,5.487515429458967,2.835536870926623,7.45712027834407,153.35128889942192,80.59471556130586,139.9362433905397,2.279613337272267,0.4154181189239994,SE,5.106903063246642,13.541828145199064,3.0251728067255304,26.518289451990633,0.6680300327868852,4270
20,4.927681854159363,2.6117946048393557,6.467206142417586,167.31735411661217,78.67477533789148,160.0132582780272,1.8624638887733793,0.377959442978509,S,4.773193159914839,12.633306140515222,3.0274703728397276,26.32289032786885,0.6290682318501171,4270
21,4.448855050701,2.450517953109811,5.700000000000001,184.1624425765527,72.01539797504606,185.6426690662877,1.9070250556798585,0.4286552458883486,S,4.17470126004882,11.087842145199062,2.9358617061288035,25.920860529274005,0.570345193911007,4270
22,4.1958687275167055,2.412421050133598,5.258704642920575,196.03818763160686,65.83268640055238,201.7404029195965,2.1295668400352255,0.507538957563049,S,3.8173070509880493,10.105361391100702,2.7634242386067847,25.55939649648712,0.5334547250585481,4270
23,4.098177379828325,2.4104727516818256,5.1,205.13696051199764,60.418075687071685,213.025821020747,2.424320628017108,0.5915606874289722,SW,3.7391051936611337,9.55672618735363,2.657862632407754,25.222330814988293,0.5025201784543325,4270
