time,enso
15711,0.917431759123398
15718,0.916555019373187
15725,0.924098250476346
15732,0.931390568450023
15739,0.935304985981142
15746,0.943068391274911
15753,0.947446443637287
15760,0.96736101542278
15767,0.968904218864108
15774,0.945558406023817
15781,0.929534839464937
15788,0.925774575476977
15795,0.909493133849993
15802,0.889570083779674
15809,0.853906436910113
15816,0.808286476091854
15823,0.736225538259443
15830,0.658710666927805
15837,0.580820594466036
15844,0.512703005270751
15851,0.458180279369873
15858,0.394135987341425
15865,0.340507026047543
15872,0.283229340986036
15879,0.234765729593927
15886,0.194694651134545
15893,0.162841531575477
15900,0.165742889121649
15907,0.175447025033294
15914,0.21600226037708
15921,0.245057314857859
15928,0.26330523905487
15935,0.267736739054458
15942,0.243880188766993
15949,0.225588527265051
15956,0.233797158862882
15963,0.258527394078756
15970,0.286929074543667
15977,0.309358546786708
15984,0.315885063646174
15991,0.302095372758956
15998,0.290946298818792
16005,0.266592798297539
16012,0.246552449825962
16019,0.239941083709674
16026,0.243679243179269
16033,0.267854872758683
16040,0.283129779471437
16047,0.283619494185042
16054,0.256750865749666
16061,0.218633125320012
16068,0.173205630679769
16075,0.122467485906218
16082,0.0777710467394149
16089,0.0210800513298277
16096,-0.026334240778544
16103,-0.047207306100617
16110,-0.0618132469330002
16117,-0.065401699719909
16124,-0.0802011328132433
16131,-0.100326426926239
16138,-0.104768747943226
16145,-0.0712620684725165
16152,-0.0403757887632681
16159,-0.00904252531867304
16166,0.0329256197001588
16173,0.0786000356434785
16180,0.154378739805239
16187,0.223932952640818
16194,0.250457937753236
16201,0.263941483443913
16208,0.26143105782196
16215,0.269422970400826
16222,0.288032170256521
16229,0.298074530614589
16236,0.31420227892876
16243,0.345725449554179
16250,0.402284889802962
16257,0.465247366489078
16264,0.508005403743016
16271,0.519451111005381
16278,0.525044477606175
16285,0.559979736203676
16292,0.605276440804564
16299,0.664424595906799
16306,0.737648153757069
16313,0.803753627688832
16320,0.85507014119254
16327,0.879914812554519
16334,0.889219270935594
16341,0.889051303950851
16348,0.903532043272291
16355,0.942777391390406
16362,1.00050531983745
16369,1.04769155846636
16376,1.0787405008066
16383,1.09694485822691
16390,1.13365109976935
16397,1.16585730660923
16404,1.19841644909275
16411,1.22692379220434
16418,1.22274951812784
16425,1.20887593572167
16432,1.19473167784676
16439,1.1581689680103
16446,1.10318090310921
16453,1.03554528564101
16460,0.972504704754683
16467,0.919550522571671
16474,0.866079072255731
16481,0.783629638764949
16488,0.675048964963762
16495,0.545819252863741
16502,0.436495443029868
16509,0.361507279420327
16516,0.318528695577592
16523,0.287094082134313
16530,0.246496353046037
16537,0.210847216504564
16544,0.182620046256343
16551,0.156123635422116
16558,0.157866564579147
16565,0.142588557328813
16572,0.122929681507982
16579,0.103550212940305
16586,0.101368264614248
16593,0.094768440777135
16600,0.0840335434560403
16607,0.0508887384096786
16614,-0.0129539419146906
16621,-0.0614596132380094
16628,-0.116115779727749
16635,-0.188897089931206
16642,-0.254876414166288
16649,-0.345784430651138
16656,-0.423921118263313
16663,-0.488791261829094
16670,-0.541282280244897
16677,-0.58594647844661
16684,-0.631104468200726
16691,-0.671162263950999
16698,-0.692978542414922
16705,-0.698529738352446
16712,-0.711137410986669
16719,-0.733351708755967
16726,-0.734790345923618
16733,-0.708753544229922
16740,-0.68645988512777
16747,-0.634216644516271
16754,-0.597277156515131
16761,-0.550760201355859
16768,-0.504307144281516
16775,-0.46630149733707
16782,-0.417495708151127
16789,-0.370383235348455
16796,-0.340692809305618
16803,-0.314689892686932
16810,-0.284717054608365
16817,-0.254276403315069
16824,-0.229805328034076
16831,-0.196428626517841
16838,-0.17493461772551
16845,-0.146474746150491
16852,-0.131822668056342
16859,-0.11278054417483
16866,-0.102081702282564
16873,-0.0980759950012514
16880,-0.109358162335627
16887,-0.103525015129641
16894,-0.0906202978989035
16901,-0.0557312284179482
16908,-0.0154842928933752
16915,0.0137650157541843
16922,0.0366896067128297
16929,0.0321037869437025
16936,0.0235008589406646
16943,0.0265023839038699
16950,0.0233713943926434
16957,0.0280297477349615
16964,0.0200709798599902
16971,0.0118287339206359
16978,0.0139754564010394
