time,enso
5484,0.445153147809905
5491,0.464085089019043
5498,0.441749360824407
5505,0.413567937928438
5512,0.405629777947572
5519,0.418491119434718
5526,0.402943491997451
5533,0.400776083918016
5540,0.407327887717565
5547,0.441887753192897
5554,0.471709862859605
5561,0.485093320773261
5568,0.508556437734537
5575,0.528760518182814
5582,0.548985815200986
5589,0.554565495070827
5596,0.568299864813844
5603,0.565746613869176
5610,0.554552786604758
5617,0.568027081258059
5624,0.579999666230635
5631,0.56445935820983
5638,0.525034872474723
5645,0.494745595254584
5652,0.463350027525001
5659,0.410411360542784
5666,0.346193402539918
5673,0.296968544343255
5680,0.273328486274419
5687,0.277611889729991
5694,0.280043936980011
5701,0.270283732193352
5708,0.256445730005657
5715,0.253256955132665
5722,0.233271325045751
5729,0.224274279969183
5736,0.227220881618542
5743,0.258786100192989
5750,0.280114688469463
5757,0.295111618207336
5764,0.284986409349902
5771,0.314358489411017
5778,0.342611873652906
5785,0.337777361097047
5792,0.338405808801428
5799,0.310591975104956
5806,0.30855754314706
5813,0.30169680498467
5820,0.299755151835727
5827,0.273842914844822
5834,0.24430757034863
5841,0.24880975405057
5848,0.238238979512436
5855,0.218518128237658
5862,0.188730268712383
5869,0.170546197747732
5876,0.194646801971
5883,0.175150304483964
5890,0.206659529627832
5897,0.222554495334646
5904,0.236173595584321
5911,0.235801255407025
5918,0.260840404801245
5925,0.234644455422768
5932,0.221969613907238
5939,0.243136342325567
5946,0.266558985676748
5953,0.307326856305364
5960,0.279143006046035
5967,0.264986983354586
5974,0.286008838215417
5981,0.265639671359601
5988,0.233957119755486
5995,0.200376716785191
6002,0.212525542872367
6009,0.210303598218975
6016,0.251297031762629
6023,0.293941715029867
6030,0.30279666625954
6037,0.3292134984612
6044,0.336041932665808
6051,0.359905061445696
6058,0.348319114647412
6065,0.341446624643523
6072,0.383259605566202
6079,0.432496262560093
6086,0.478684217595363
6093,0.503618749965118
6100,0.530329908374704
6107,0.586013287898123
6114,0.598405377625272
6121,0.645701349069607
6128,0.703163004703113
6135,0.77064720859385
6142,0.828981435492619
6149,0.917011082693266
6156,1.00962680856201
6163,1.05583228400381
6170,1.08362384187892
6177,1.11227221852599
