year,mean_speed,p90_speed,max_speed,constancy,vector_dir,n_hours,calm_pct,gust_mean
2015,5.099874429223744,8.8,21.6,0.06667623065940682,188.74692807555448,8760,1.3926940639269407,15.960319634703199
2016,4.433025956284154,7.6,17.5,0.1352825315024101,179.1058720932591,8784,1.8784153005464481,14.317531876138435
2017,5.420948475781676,11.723298975737814,24.399623745893496,0.038323082118116296,122.64553435267223,8760,4.280821917808219,16.291755805936074
2018,5.974029435552063,13.196518442168141,26.24181523832801,0.1756326945279401,92.60547011454041,8760,3.493150684931507,17.590253182648404
2019,5.9368096207953,13.488301908651911,26.628360737853118,0.3104506798030762,89.19780685636876,8760,3.6986301369863015,17.53618205936073
2020,5.919651569260604,12.732933279106621,25.507516573659498,0.22114269206040424,90.87377270001932,8784,3.5177595628415297,17.435699444444445
2021,5.873186588100523,13.05071597977693,23.719574970834294,0.09293674670436967,109.03751910332691,8760,3.5388127853881275,17.217650374429223
2022,5.357890255280509,11.330923865393556,19.609887141326176,0.028966407752891884,141.57565209175277,8760,3.732876712328767,15.370866691780822
2023,5.69664423381902,12.46327997970702,26.616893859238495,0.13053620464087384,107.05313982326463,8760,3.9497716894977173,16.478363611872144
2024,5.0234531560899764,10.769197304659691,24.20647372561192,0.029389760604367907,133.39983095616805,8784,5.077413479052823,15.11234231557377
2025,5.119492386704043,12.107942898846652,28.213721592309284,0.02153208954331303,270.17219872443957,8760,8.65296803652968,13.750399666666667
2026,7.133323256158458,15.655225789933894,28.285361149484395,0.07665336386299586,189.21644055620573,6048,5.654761904761905,16.785550949074075
